,question,options,answer,reply_open
19,"A 30-year-old man is brought to the doctor's office by his wife. She complains that over the past week there have been 3 episodes where he has fallen asleep while speaking with her. She mentioned that these events began a few months ago and have been increasing in frequency. She also says that his snoring has gotten to the point where she has a hard time sleeping next to him. When asked, the patient says that he frequently falls asleep while reading or watching television in the afternoons and feels refreshed after a short nap. The patient is worried because he sometimes hears people who aren’t in the room as he falls asleep. He is worried he might be “going crazy.” He has noticed that when his friends tell him a joke or he laughs at something on the TV, he drops whatever he’s holding and feels like his legs become weak. These episodes self-resolve in a few seconds. Examination shows a morbidly obese man in no acute distress. Which of the following is the best treatment for the most likely cause for this patient’s illness?","{'A': 'Modafinil', 'B': 'Taking longer naps', 'C': 'Continuous positive airway pressure', 'D': 'Changing bedtime to earlier in the evening'}",Modafinil,Sleep study.
20,"A 55-year-old homeless man presents to the emergency department acutely confused. The patient was found wandering the streets with an abnormal gait. The patient has a past medical history of alcohol and IV drug abuse. His temperature is 98.5°F (36.9°C), blood pressure is 103/61 mmHg, pulse is 120/min, respirations are 16/min, and oxygen saturation is 97% on room air. Physical exam is notable for a poorly kempt man with ataxic gait. Ophthalmoplegia is noted on cranial nerve testing, and he has decreased vibration sensation in the bilateral lower extremity. Dermatologic exam reveals perifollicular hemorrhages, bleeding gums, and many bruises along the patient’s upper and lower extremities. An initial ECG is notable for sinus tachycardia and the patient is given 2L of Ringer lactate. Laboratory values are ordered as seen below.

Hemoglobin: 8.0 g/dL
Hematocrit: 30%
Leukocyte count: 3,500/mm^3 with normal differential
Platelet count: 192,000/mm^3
MCV: 119 fL

Serum:
Na+: 139 mEq/L
Cl-: 100 mEq/L
K+: 4.3 mEq/L
HCO3-: 25 mEq/L
BUN: 20 mg/dL
Glucose: 47 mg/dL
Creatinine: 1 mg/dL
Ca2+: 9.2 mg/dL
Mg2+: 1.2 mEq/L
AST: 82 U/L
ALT: 70 U/L

Which of the following is the best next treatment for this patient?","{'A': 'Folate', 'B': 'Magnesium', 'C': 'Thiamine', 'D': 'Vitamin C'}",Thiamine,Thiamine administration.
21,"A 61-year-old woman is brought to the emergency department because of crushing substernal chest pain at rest for the past 2 hours. She is diaphoretic. Her temperature is 37.5°C (99.5°F), pulse is 110/min, respirations are 21/min, and blood pressure is 115/65 mm Hg. An ECG shows ST elevation in I, aVL, and V2–V4. Coronary angiography shows an 80% stenosis in the left anterior descending artery. Which of the following is the most likely initial step in the pathogenesis of this patient's coronary condition?","{'A': 'Intimal monocyte infiltration', 'B': 'Platelet activation', 'C': 'Endothelial cell dysfunction', 'D': 'Fibrous plaque formation'}",Endothelial cell dysfunction,Atherosclerosis.
22,"A 4-year-old boy presents to the office with his mother. She states that the patient has been complaining of pain in his scrotum with swelling, abdominal pain, and nausea for the last 2 or 3 days. On exam, the abdomen is soft and nontender to palpation. The right scrotal sac is mildly enlarged without erythema. A tender mass is palpated in the right scrotal area. The mass does not transilluminate when a penlight is applied. The patient is afebrile and all vital signs are stable. What is the most likely etiology of this patient’s presentation?","{'A': 'Patent processus vaginalis', 'B': 'Collection of fluid in the tunica vaginalis', 'C': 'Infection of the epididymis', 'D': 'Neoplasm of the testicle'}",Patent processus vaginalis,Testicular torsion.
23,"A 59-year-old man presents to his primary care physician, accompanied by his wife, who requests treatment for his “chronic pessimism.” The patient admits to feeling tired and “down” most of the time for the past several years but insists that it is “just part of getting old.” His wife believes that he has become more self-critical and less confident than he used to be. Neither the patient nor his wife can identify any stressors or triggering events. He has continued to work as a librarian at a nearby college during this time and spends time with friends on the weekends. He sleeps 7 hours per night and eats 3 meals per day. He denies suicidal ideation or periods of elevated mood, excessive irritability, or increased energy. Physical exam reveals a well-dressed, well-groomed man without apparent abnormality. Basic neurocognitive testing and labs (CBC, BMP, TSH, cortisol, testosterone, and urine toxicology) are within normal limits. What is the most likely diagnosis?","{'A': 'Adjustment disorder with depressive features', 'B': 'Bipolar disorder', 'C': 'Cyclothymia', 'D': 'Dysthymia'}",Dysthymia,Major depressive disorder.
24,"A 17-month-old girl was brought to the emergency department by her mom following a fall. The mom reports that the patient was playing in the playground when she tripped and fell onto the mulch. She had an uncomplicated birth history and has been meeting developmental goals except for language delay, for which she is to receive a hearing test for further evaluation next week. Physical exam reveals bruising along the left lateral thigh, knee, and elbow; all lab tests are within normal limits. Radiograph shows a fracture of the olecranon. Serum chemistry and liver panels were within normal limits. What is the most likely explanation for the patient’s presentation?","{'A': 'Child abuse', 'B': 'Defective type 1 collagen gene', 'C': 'Low levels of phosphate', 'D': 'Low levels of vitamin D'}",Defective type 1 collagen gene,Fractured olecranon.
25,"ِA 62-year-old man comes to the emergency department because of colicky pain in the lower abdomen and abdominal distension for the past 12 hours. He has chronic constipation for which he takes lactulose and senna laxatives. His temperature is 37.1°C (98.7°F), blood pressure is 110/60 mm Hg and pulse is 85/min. On physical examination, there is diffuse abdominal distension and tenderness, and bowel sounds are faint. His plain abdominal radiograph is shown. Which of the following is the most likely diagnosis?","{'A': 'Infectious colitis', 'B': 'Bowel adhesions', 'C': 'Volvulus', 'D': 'Acute diverticulitis'}",Volvulus,Small bowel obstruction.
26,"A 73-year-old African American man comes to the physician for a routine health maintenance examination. He has type 2 diabetes mellitus, hypertension, hypercholesterolemia, and coronary artery disease. His current medications include metformin, hydrochlorothiazide, amlodipine, rosuvastatin, isosorbide mononitrate, aspirin, and dipyridamole. He is 180 cm (5 ft 11 in) tall and weighs 110 kg (242 lb); BMI is 34 kg/m2. His vital signs are within normal limits. His hemoglobin A1c concentration is 6.7%. Serum lipid studies show:
Cholesterol, total 302 mg/L
HDL-cholesterol 39 mg/dL
LDL-cholesterol 197 mg/dL
Triglycerides 292 mg/dL
The physician prescribes a drug that inhibits intestinal cholesterol absorption. The addition of this drug is most likely to increase the risk of which of the following adverse effects?""","{'A': 'Hepatotoxicity', 'B': 'Hyperkalemia', 'C': 'Cutaneous flushing', 'D': 'Hyperuricemia'}",Hepatotoxicity,Diarrhea.
27,"A 15-year-old girl is brought to the clinic by her mother because she is worried the patient has not yet had her period. The patient’s older sister had her first period at age 14. The mother had her first period at age 13. The patient reports she is doing well in school and is on the varsity basketball team. Her medical history is significant for asthma and atopic dermatitis. Her medications include albuterol and topical triamcinolone. The patient’s temperature is 98°F (36.7°C), blood pressure is 111/72 mmHg, pulse is 65/min, and respirations are 14/min with an oxygen saturation of 99% on room air. Her body mass index (BMI) is 19 kg/m^2. Physical exam shows absent breast development and external genitalia at Tanner stage 1. Serum follicle stimulating hormone (FSH) level is measured to be 38 mIU/mL. Which of the following is the next best diagnostic step?","{'A': 'CYP17 gene work-up', 'B': 'Estrogen levels', 'C': 'Gonadotrophin-releasing hormone stimulation test', 'D': 'Karotype'}",Karotype,Karyotype analysis.
28,"A 15-month-old girl is brought to the physician by her mother for grossly bloody diarrhea for 2 days. The girl has had a few episodes of blood-tinged stools over the past 3 weeks. She has not had pain, nausea, or vomiting. She is at the 55th percentile for height and 55th percentile for weight. Examination shows conjunctival pallor. The abdomen is soft and nontender. There is a small amount of dark red blood in the diaper. Her hemoglobin concentration is 9.5 g/dL, mean corpuscular volume is 68 μm3, and platelet count is 300,000/mm3. Further evaluation is most likely to show which of the following findings?","{'A': 'Neutrophil infiltrated crypts on colonic biopsy', 'B': 'Absent ganglionic cells on rectal suction biopsy', 'C': 'Target sign on abdominal ultrasound', 'D': 'Ectopic gastric mucosa on Technetium-99m pertechnetate scan'}",Ectopic gastric mucosa on Technetium-99m pertechnetate scan,Stool culture positive.
29,A 3855-g (8-lb 8-oz) newborn is examined shortly after birth. She was delivered at 40 weeks' gestation by cesarean delivery because of breech presentation. Pregnancy was otherwise uncomplicated. Physical examination shows asymmetric thigh creases. The left leg is shorter than the right leg and positioned in external rotation. Which of the following is the most likely underlying cause of this patient's findings?,"{'A': 'Fracture of the femoral neck', 'B': 'Inflammation of the hip synovium', 'C': 'Abnormal development of the acetabulum', 'D': 'Displacement of the femoral epiphysis'}",Abnormal development of the acetabulum,Developmental dysplasia of hip.
